RANK,TIME,ATHLETE,LSC,CLUB CODE,"SWIMMER
COUNTRY",MEET NAME,"SWIM
DATE","LOCATION
CITY"
1,58.14,Michael Andrew,SI,MASA,,2020 Olympic Trials Wave II,6/13/2021,Omaha
2,58.19,Michael Andrew,SI,MASA,,2020 Olympic Trials Wave II,6/13/2021,Omaha
3,58.64,Kevin Cordes,GA,UN,,2017 World Champs,7/23/2017,Budapest
4,58.74,Kevin Cordes,GA,UN,,2017 Summer Nationals,6/30/2017,Indianapolis
5,58.87,Cody Miller,CA,UN,,2016 Olympic Games,8/7/2016,Rio
6,58.94,Kevin Cordes,GA,FOX,,2016 Olympic Trials,6/26/2016,"Omaha, NE"
7,58.96,Eric Shanteau,US,UN,,2009 World Champs,7/26/2009,Rome
8,59.01,Mark Gangloff,NC,MAC,,2009 Summer Nationals,7/7/2009,
9,59.13,Brendan Hansen,US,TXLA,,2006 Summer Nationals,8/1/2006,
10,59.30,Brendan Hansen,US,TXLA,,2004 Olympic Trials,7/7/2004,
11,1:00.13,Brendan Hansen,US,TXLA,,2004 Olympic Trials,7/7/2004,
12,1:00.21,Brendan Hansen,US,CCS,,2003 World Champs,7/22/2003,
12,1:00.21,Ed Moses,CA,NCAP,,2003 Spring Nationals,4/4/2003,
14,1:00.29,Ed Moses,CA,NCAP,,2001 Spring Nationals,3/28/2001,
15,1:00.44,Ed Moses,CA,NCAP,,2000 US Olympic Trials,8/10/2000,
16,1:00.77,Jeremy Linn,PV,CPAC,,1996 Olympic Games,7/20/1996,
17,1:01.40,Seth Van Neerden,MA,DST,,1994 National Champs,8/14/1994,
17,1:01.40,Nelson Diebel,MA,DST,,1992 Olympic Trials,3/1/1992,
19,1:01.49,Nelson Diebel,MA,DST,,,3/1/1992,
20,1:01.65,Steve Lundquist,US,UN,,1984 Olympic Games,7/29/1984,
21,1:02.13,John Moffet,US,UN,,1984 Olympic Trials,6/25/1984,
22,1:02.28,Steve Lundquist,US,UN,,,8/17/1983,
23,1:02.34,Steve Lundquist,US,UN,,1983 National Champs,8/6/1983,
24,1:02.53,Steve Lundquist,US,UN,,1982 National Champs,8/21/1982,
25,1:02.62,Steve Lundquist,US,UN,,,7/19/1982,
26,1:02.88,Steve Lundquist,US,UN,,1980 Olympic Trials,7/29/1980,
27,1:02.93,Bill Barrett,US,UN,,1980 Olympic Trials,7/29/1980,
28,1:03.11,John Hencken,US,UN,,1976 Olympic Games,7/20/1976,
29,1:03.62,John Hencken,US,UN,,,7/19/1976,
30,1:03.88,John Hencken,US,UN,,,7/19/1976,
31,1:04.02,John Hencken,US,UN,,1973 World Champs,9/4/1973,
32,1:04.35,John Hencken,US,UN,,,9/4/1973,
33,1:05.43,Tom Bruce,US,UN,,1972 Olympic Games,8/30/1972,
34,1:05.68,John Hencken,US,UN,,,8/29/1972,
