RANK,TIME,ATHLETE,LSC,CLUB CODE,"SWIMMER
COUNTRY",MEET NAME,"SWIM
DATE","LOCATION
CITY"
1,51.85,Ryan Murphy,PC,CAL,,2016 Olympic Games,8/13/2016,Rio de Janeiro
2,51.94,Aaron Peirsol,CA,TXLA,,2009 Summer Nationals,7/8/2009,Indianapolis
3,52.54,Aaron Peirsol,CA,UN,,2008 Olympic Games,8/9/2008,
4,52.89,Aaron Peirsol,CA,TXLA,,2008 Olympic Trials,6/29/2008,
5,52.98,Aaron Peirsol,CA,TXLA,,2007 World Champs,3/25/2007,
6,53.17,Aaron Peirsol,CA,TXLA,,2005 Summer Nationals,4/2/2005,
7,53.45,Aaron Peirsol,CA,UN,,2004 Olympic Games,8/21/2004,
8,53.60,Lenny Krayzelburg,CA,TROJ,,1999 Pan Pacific Champs,8/24/1999,
9,53.86,Jeff Rouse,PC,STAN,,,7/31/1992,
10,53.93,Jeff Rouse,PC,STAN,,,8/22/1991,
11,54.51,Dave Berkoff,MT,MAC,,,9/24/1988,
12,54.91,Dave Berkoff,MT,MAC,,1988 Olympic Trials,8/13/1988,
13,54.95,Dave Berkoff,MT,MAC,,,8/13/1988,
14,55.19,Rick Carey,CT,UN,,,8/21/1983,
15,55.38,Rick Carey,CT,UN,,,8/6/1983,
16,55.44,Rick Carey,CT,UN,,,8/6/1983,
17,55.49,John Naber,US,UN,,1976 Olympic Games,7/19/1976,
18,56.19,John Naber,US,UN,,,7/19/1976,
19,56.80,John Naber,US,UN,,,7/19/1976,
20,57.35,John Naber,US,UN,,1975 National Champs,8/22/1975,
21,57.56,John Naber,US,UN,,,8/21/1975,
22,57.70,Mark Spitz,US,UN,,,8/29/1972,
23,57.99,Mitch Ivey,FL,UN,,,8/28/1972,
24,58.15,Mitch Ivey,FL,UN,,,8/28/1972,
25,58.20,Charlie Campbell,US,UN,,,9/4/1971,
26,58.50,Michael Stamm,US,UN,,,8/22/1970,
27,59.10,Charles Hickcox,US,UN,,,8/31/1967,
28,59.30,Charles Hickcox,US,UN,,,8/28/1967,
29,59.50,Doug Russell,SI,UN,,,8/28/1967,
30,59.60,Thompson Mann,US,UN,,,10/16/1964,
31,1:00.00,Thompson Mann,US,UN,,1964 Olympic Trials,9/3/1964,
32,1:00.90,Rich McGeagh,US,UN,,,8/18/1963,
32,1:00.90,Thomas Stock,US,UN,,,8/12/1962,
34,1:01.00,Thomas Stock,US,UN,,1962 Men's National Champs,8/11/1962,
35,1:01.30,Robert Bennett,US,UN,,1961 Men's National Champs,8/19/1961,
