RANK,TIME,ATHLETE,LSC,CLUB CODE,"SWIMMER
COUNTRY",MEET NAME,"SWIM
DATE","LOCATION
CITY"
1,21.04,Caeleb Dressel,FL,UN,,2019 World Champs,7/27/2019,Gwangju
1,21.04,Caeleb Dressel,FL,GSC,,2020 Olympic Trials Wave II,6/19/2021,Omaha
3,21.15,Caeleb Dressel,FL,UN,,2017 World Champs,7/29/2017,Budapest
4,21.29,Caeleb Dressel,FL,UN,,2017 World Champs,7/28/2017,Budapest
5,21.37,Nathan Adrian,PC,UN,,2015 World Champs,8/7/2015,Kazan
6,21.40,Cullen Jones,US,UN,,2009 World Champs,8/1/2009,Rome
7,21.41,Cullen Jones,US,MAC,,2009 Summer Nationals,7/7/2009,
8,21.47,Garrett Weber-Gale,ST,TXLA,,2008 Olympic Trials,6/29/2008,
9,21.59,Cullen Jones,US,MAC,,2008 Olympic Trials,6/29/2008,
10,21.76,Gary Hall,FG,PSC,,2000 US Olympic Trials,8/9/2000,
11,21.81,Tom Jager,CO,GMSC,,,3/25/1990,
12,21.98,Tom Jager,CO,GMSC,,,3/24/1990,
13,22.12,Tom Jager,CO,GMSC,,,8/20/1989,
14,22.14,Matt Biondi,HI,ASC,,1988 Olympic Games,9/24/1988,
15,22.23,Tom Jager,CO,GMSC,,,3/25/1988,
16,22.32,Tom Jager,CO,GMSC,,,8/13/1987,
17,22.33,Matt Biondi,HI,ASC,,,6/26/1986,
18,22.40,Tom Jager,CO,GMSC,,,12/7/1985,
19,22.54,Robin Leamy,US,UN,,,8/15/1981,
20,22.71,Joseph Bottom,US,UN,,,8/15/1980,
21,22.83,Joseph Bottom,US,UN,,,8/15/1980,
21,22.83,Bruce Stahl,US,UN,,,4/10/1980,
23,23.66,Chris Cavanaugh,PC,UN,,,2/3/1980,
